Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date
209,Snubbull,Fa,1,,,90/149,,Tomokazu Komiya,,,
210,Granbull,Fa,2,Reverse,,91/149,,Suwama Chiaki,,,
742,Cutiefly,Fa,1,,,92/149,,Hitoshi Ariga,,,
147,Dratini,Dr,1,,,94/149,,Naoyo Kimura,,,
148,Dragonair,Dr,2,,,95/149,,hatachu,,,
149,Dragonite,Dr,3,Full,,96/149,,Hiroyuki Yamamoto,,,
21,Spearow,N,1,,,97/149,,Yukiko Baba,,,
22,Fearow,N,1,,,98/149,,Hideki Ishikawa,,,
133,Eevee,N,1,,,101/149,,Shibuzoh.,,,
327,Spinda,N,2,,,102/149,,Shigenori Negishi,,,
506,Lillipup,N,1,Reverse,,103/149,,MAHOU,,,
731,Pikipek,N,1,,,106/149,,Shin Nagasawa,,,
732,Trumbeak,N,2,,,107/149,,Kouki Saitou,,,
733,Toucannon,N,3,Reverse,,108/149,,Megumi Mizutani,,,
734,Yungoos,N,1,,,109/149,,match,,,
759,Stufful,N,1,,,111/149,,Sanosuke Sakuma,,,
760,Bewear,N,3,Reverse,,112/149,,kirisAki,,,
T,Big Malasada,I,2,,,114/149,,5ban Graphics,,,
T,Crushing Hammer,I,2,,,115/149,,Yoshinobu Saito,,,
T,Exp. Share,I,2,Full,,118/149,,Toyste Beach,,,
T,Great Ball,I,2,,,119/149,,Ryo Ueda,,,
T,Hau,Su,2,Full,,120/149,,Ken Sugimori,,,
T,Ilima,Su,2,Full,,121/149,,Ken Sugimori,,,
T,Lillie,Su,2,,,122/149,,Ken Sugimori,,,
T,Nest Ball,I,2,,,123/149,,Toyste Beach,,,
T,Poison Barb,I,2,,,124/149,,Toyste Beach,,,
T,Poke Ball,I,2,,,125/149,,Ryo Ueda,,,
T,Professor Kukui,Su,2,,,128/149,,Ken Sugimori,,,
T,Rare Candy,I,2,Full,,129/149,,Toyste Beach,,,
T,Repel,I,2,,,130/149,,Yoshinobu Saito,,,
T,Rotom Dex,I,2,,,131/149,,5ban Graphics,,,
T,Switch,I,2,,,132/149,,Ryo Ueda,,,
T,Team Skull Grunt,Su,2,,,133/149,,Ken Sugimori,,,
T,Timer Ball,I,2,,,134/149,,Toyste Beach,,,
T,Ultra Ball,I,2,Full,,135/149,,Ryo Ueda,,,
T,Professor Kukui,Su,5,Full,Full Art,148/149,,Megumi Mizutani,,,
