Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
766	Passimian	Fg	1	Reverse		125	Masakazu Fukuda			10/26/2019
88	Grimer	D	1		Alolan	130	Sekio			10/26/2019
318	Carvanha	D	1			132	Hasuno			10/26/2019
624	Pawniard	D	1			134	Ken Sugimori			11/2/2019
625	Bisharp	D	2			135	SATOSHI NAKAI			10/26/2019
27	Sandshrew	Sl	1		Alolan	137	ryoma uratsuka			11/2/2019
28	Sandslash	Sl	3		Alolan	138	Hasuno			10/26/2019
303	Mawile	Sl	2			140	kodama			12/20/2019
476	Probopass	Sl	2			141	Masakazu Fukuda			11/2/2019
791	Solgaleo	Sl	3	Reverse / Art		142	Misa Tsutsui			11/2/2019
298	Azurill	Fa	1			146	Asako Ito			10/26/2019
669	Flabebe	Fa	1			149	tetsuya koizumi			10/26/2019
669	Flabebe	Fa	1			150	Atsuko Nishida			11/2/2019
684	Swirlix	Fa	1	Reverse		153	MAHOU			11/2/2019
685	Slurpuff	Fa	3			154	Kyoko Umemoto			11/2/2019
782	Jangmo-o	Dr	1			160	AKIRA EGAWA			10/26/2019
782	Jangmo-o	Dr	1	Reverse		161	Tomokazu Komiya			11/2/2019
783	Hakamo-o	Dr	2			162	Ryuta Fuse			10/26/2019
133	Eevee	N	1			166	Motofumi Fujiwara			11/2/2019
133	Eevee	N	1			167	Hasuno			11/2/2019
174	Igglybuff	N	2			168	Kagemaru Himeno			10/26/2019
190	Aipom	N	1			169	Miki Tanaka			11/2/2019
424	Ambipom	N	2			170	Sumiyoshi Kizuki			11/2/2019
216	Teddiursa	N	1	Reverse		171	kodama			11/2/2019
506	Lillipup	N	1			174	Sekio			11/2/2019
627	Rufflet	N	1			177	Ken Sugimori			10/26/2019
694	Helioptile	N	1			179	Sekio			12/26/2019
759	Stufful	N	1			181	Shigenori Negishi			10/26/2019
760	Bewear	N	3			182	Akira Komayama			11/2/2019
772	Type: Null	N	2			183	KEIICHIRO ITO			11/2/2019
773	Silvally GX	N	5	Full	Full Art	184	Megumi Mizutani			11/2/2019
T	Beastite	I	2			185	inose yukie			11/2/2019
T	Erika	Su	2	Reverse		191	Megumi Mizutani			10/26/2019
T	Island Challenge Amulet	I	2			194	sodaji			11/2/2019
T	Lana's Fishing Rod	I	2			195	Eske Yoshinob			11/2/2019
T	Lillie's Full Force	Su	2			196	kodama			10/26/2019
T	Mallow & Lana	Su	2	Reverse	Tag Team	198	Ken Sugimori			12/20/2019
T	N's Resolve	Su	2			200	Ryuta Fuse			10/26/2019
T	Professor Oak's Setup	Su	2			201	Megumi Mizutani			10/26/2019
T	Red & Blue	Su	2		Tag Team	202	Megumi Mizutani			10/26/2019
T	Roller Skater	Su	2			203	Yusuke Ohmura			11/2/2019
T	Rosa	Su	3			204	Yusuke Ohmura			10/26/2019
T	Tag Call	I	2			206	Toyste Beach			10/26/2019
T	Draw Energy	N	2			209				10/26/2019
746	Wishiwashi	W	5	Full	Full Art / Trainer	240	Misaki Hashimoto			10/26/2019
81	Magnemite	El	5	Full	Full Art / Trainer	242	Fumie Kittaka			11/2/2019
109	Koffing	P	5	Full	Full Art / Trainer	243	HYOGONOSUKE			12/20/2019
530	Excadrill	Fg	5	Full	Full Art / Trainer	246	Mitsuhiro Arita			12/20/2019
